split,statement_id,original_label,label,label_name,statement,subject,speaker,speaker_job,state_info,party_affiliation,context,text_length_chars,text_length_words
train,11092.json,false,0,not_credible,isis supporter tweeted shooting began chattanooga tenn,"technology,terrorism",pamela-geller,President of American Freedom Defense Intitiative,New York,activist,a tweet ,54,7
train,13237.json,true,1,credible,says paul ryan still endorsing trump,"candidates-biography,elections,campaign-advertising",hillary-clinton,Presidential candidate,New York,democrat,a tweet,36,6
train,5383.json,barely-true,0,not_credible,look states right work constantly budget deficits good business climates,"economy,labor,states,unions,workers",nicholas-kettle,State senator,Rhode Island,republican,a radio talk show,72,10
train,9727.json,false,0,not_credible,obama administration going come next several months youre even going able burn coal limitedly existing plants,"climate-change,energy,environment,government-regulation",shelley-moore-capito,U.S. House of Representative,West Virginia,republican,a campaign ad,109,16
train,8239.json,mostly-true,1,credible,cut business taxes today percent businesses dont pay business tax,"small-business,taxes",rick-scott,Governor,Florida,republican,a speech at an Americans for Prosperity Foundation conference,65,10
train,10121.json,mostly-true,1,credible,says mark pryor votes obama percent time,"bipartisanship,voting-record",tom-cotton,U.S. House of Representatives,Arkansas,republican,a debate,40,7
train,7550.json,true,1,credible,federal government thinks authority regulate toilet seats,"consumer-safety,corrections-and-updates,government-regulation,market-regulation,states,supreme-court,workers",ted-cruz,Senator,Texas,republican,a speech at CPAC,57,7
train,9018.json,true,1,credible,austin city basically doubled size every years since founded,"city-government,population",lee-leffingwell,Austin mayor,Texas,democrat,"his ""State of the City"" address",60,9
train,1038.json,true,1,credible,nuclear test conducted nation time earths th nuclear test five permanent members un security council conducted percent total nuclear tests,military,north-korea,,,none,a released statement,138,20
train,2940.json,pants-fire,0,not_credible,case catastrophic event atlantaarea offices centers disease control prevention selfdestruct,"health-care,pop-culture",walking-dead,,,none,the TV show's season finale,91,10
train,8492.json,true,1,credible,president george w bush added trillion debt president obama weve added trillion debt,debt,kelly-ayotte,U.S. Senator,New Hampshire,republican,"a town hall meeting in Hudson, N.H.",84,13
train,5352.json,false,0,not_credible,says us supreme court justice suggested us cases decided based south african law,"legal-issues,supreme-court",marco-rubio,U.S. Senator,Florida,republican,a speech at the CPAC conference,80,13
train,5210.json,pants-fire,0,not_credible,rep david cicilline responsible federal loan guarantee solyndra failed solar company,"energy,stimulus",national-republican-congressional-committee,,,republican,a news release,84,11
train,7993.json,pants-fire,0,not_credible,says ohio budget item later signed law gov john kasich requires women seeking abortion undergo mandatory vaginal probe,"abortion,pundits,women",rachel-maddow,MSNBC host,,none,"On “The Rachel Maddow Show,” broadcast on MSNBC",118,18
train,1926.json,false,0,not_credible,director homeland security use use term terrorist attack instead substitutes manmade disaster,"homeland-security,terrorism",jerry-patterson,state land commissioner,Texas,republican,a speech at the Texas Republican Party Convention,93,12
train,7990.json,pants-fire,0,not_credible,obamacare provide insurance nonus residents even illegally,"health-care,immigration",chain-email,,,none,a long-running chain email,58,7
train,3652.json,false,0,not_credible,president barack obama took exactly none deficit reduction commissions ideas one,"deficit,federal-budget",john-boehner,Speaker of the House of Representatives,Ohio,republican,an interview with ABC news,80,11
train,12848.json,pants-fire,0,not_credible,barack obama hillary clinton changed rules engagement probably cost capt humayun khans life,"iraq,military",katrina-pierson,,,republican,an interview on CNN.,91,13
train,13503.json,true,1,credible,hillary clinton cosponsored legislation would jail flag burners,patriotism,blog-posting,,,none,Townhall.com ,63,8
train,4930.json,barely-true,0,not_credible,says paperback edition mitt romneys book deleted line massachusetts individual mandate model country,"health-care,states",rick-perry,Governor,Texas,republican,a Republican presidential debate in Iowa,100,13
train,13210.json,barely-true,0,not_credible,maggie hassan raised tuition making highest america,education,national-republican-senatorial-committee,,,republican,an ad,51,7
train,8187.json,false,0,not_credible,says terry mcauliffe person invented scheme rent lincoln bedroom,"campaign-finance,ethics,history",ken-cuccinelli,Attorney General,Virginia,republican,a speech.,64,9
train,12758.json,true,1,credible,created new jobs cut unemployment rate almost half today new york state private sector jobs ever history,jobs,andrew-cuomo,Governor,New York,democrat,"a conversation with reporters in Victor, NY.",104,17
train,10693.json,barely-true,0,not_credible,towns west texas water truck water,water,sid-miller,State agriculture commissioner,Texas,republican,a symposium on water hosted by the Texas Tribune,34,6
train,12981.json,barely-true,0,not_credible,going build wall ago long ago like couldnt get environmental impact statements,immigration,donald-trump,President-Elect,New York,republican,an interview on Fox News,78,12
train,812.json,false,0,not_credible,sen obamas campaign announced hes choosing cabinet,elections,john-mccain,U.S. senator,Arizona,republican,"a rally in Bensalem, Pa.",50,7
train,7548.json,mostly-true,1,credible,percent latinos texas registered vote percent actually turned,"elections,population",battleground-texas,,Texas,democrat,"an adviser's interview on the ""Colbert Report.""",61,8
train,6000.json,false,0,not_credible,percent public high schools country offer pe classes,"education,health-care",michelle-obama,,Illinois,democrat,an interview with NPR,52,8
train,321.json,mostly-true,1,credible,said hes republican candidate whos actually turned around government economy,job-accomplishments,rudy-giuliani,Attorney,New York,republican,"a debate in Boca Raton, Fla.",76,10
train,1779.json,true,1,credible,military recruiters harvard elena kagan took position supreme court ruled unanimously wrong,"education,gays-and-lesbians,kagan-nomination,military,supreme-court",john-barrasso,Senator,Wyoming,republican,an interview on Fox News,91,12
train,1833.json,mostly-true,1,credible,public school teachers texas nonteachers public schools,"education,message-machine,taxes",empower-texans,,Texas,none,a Web video,55,7
train,6612.json,true,1,credible,bain capital helped start early childhood learning company called bright horizons first lady michelle obama rightly praised,"candidates-biography,job-accomplishments",mitt-romney,Former governor,Massachusetts,republican,remarks at the Republican National Convention in Tampa,123,17
train,12056.json,false,0,not_credible,says man rushed stage dayton ohio chatter isis isis social media posts,"civil-rights,elections,terrorism",donald-trump,President-Elect,New York,republican,"an interview on ""Meet the Press""",70,12
train,6161.json,barely-true,0,not_credible,us rep phil gingrey gave government power electronically spy americans without warrant,"criminal-justice,terrorism",michael-opitz,,Georgia,republican,a YouTube ad,86,12
train,2526.json,barely-true,0,not_credible,alex sink funneled three quarters million dollars nobid contracts bank america,"economy,financial-regulation,message-machine",rick-scott,Governor,Florida,republican,a TV ad.,78,11
train,3786.json,true,1,credible,take population growth virginia net zero job creation since bob mcdonnell became governor,jobs,terry-mcauliffe,Governor,Virginia,democrat,a speech.,89,13
train,6697.json,barely-true,0,not_credible,obama home values florida collapsed construction jobs lost state high foreclosure rate,"housing,message-machine-2012",mitt-romney,Former governor,Massachusetts,republican,a campaign ad,86,12
train,1738.json,mostly-true,1,credible,new arizona immigration law says police officer stop anyone appears reasonably suspicious undocumented person,"immigration,legal-issues",alfredo-gutierrez,Former state Senator,Arizona,democrat,an interview on MSNBC's Hardball,109,14
train,7425.json,mostly-true,1,credible,time history debt higher end world war ii,debt,david-cote,President and CEO of Honeywell International,,none,a speech during a “Fix the Debt” press event,41,8
train,10039.json,mostly-true,1,credible,cost health care singlebiggest factor driving federal budget deficit,"deficit,federal-budget,health-care",barack-obama,President,Illinois,democrat,a speech at Northwestern University,68,9
train,2166.json,true,1,credible,recession consumer native perversity begun save savings rate percent,"economy,abc-news-week",george-will,Columnist,Maryland,columnist,"a roundtable discussion on ABC's ""This Week""",68,9
train,1978.json,false,0,not_credible,whether us supreme court nominee forthcoming confirmation hearings,"kagan-nomination,supreme-court",elena-kagan,U.S. solicitor general,New York,democrat,a law review article,66,8
train,3005.json,barely-true,0,not_credible,says one three us homeless men veteran,"poverty,veterans",texas-veterans-commission,,,none,a newspaper article.,38,7
train,9165.json,false,0,not_credible,says charlie crist supports cuts medicare advantage program,"health-care,medicare",republican-party-florida,,,republican,a Facebook post,59,8
train,10053.json,true,1,credible,says scott brown cosponsored legislation let employers deny women coverage birth control,"health-care,legal-issues,women",jeanne-shaheen,Senator,New Hampshire,democrat,a news release,88,12
train,3146.json,false,0,not_credible,past years egypt made great strides political democratic reform,"foreign-policy,abc-news-week",sameh-shoukry,,,none,"an interview on ABC's ""This Week with Christiane Amanpour.""",63,9
train,8755.json,false,0,not_credible,amount attention paid week chris christie makes coverage benghazi pale significance,"terrorism,transportation",karl-rove,,Texas,republican,"comments on ""Fox News Sunday""",83,11
train,9989.json,true,1,credible,says us rep steve southerland voted keep shutdown going,federal-budget,gwen-graham,,Florida,democrat,a campaign commercial,55,9
train,11657.json,mostly-true,1,credible,federal criminal law says crime transport dentures across state lines,public-health,bob-goodlatte,U.S. Congressman,Virginia,republican,a radio interview.,69,10
train,11131.json,mostly-true,1,credible,built new prison every days keep mass incarceration explosion nonviolent offenders,"crime,criminal-justice",cory-booker,U.S. senator,New Jersey,democrat,a post on Instagram,82,11
train,767.json,barely-true,0,not_credible,sen mccains tax plan provides virtually nothing middle class,taxes,joe-biden,U.S. senator,Delaware,democrat,vice presidential debate in St. Louis,60,9
train,10263.json,false,0,not_credible,austin burdened fastestgrowing tax increases major city nation,"city-budget,city-government,taxes",jim-skaggs,"Treasurer, Citizens Against Rail Taxes",Texas,none,as quoted in a news story,62,8
train,2020.json,mostly-true,1,credible,insurance commissioner cant squat health care,health-care,ralph-hudgens,,Georgia,republican,a radio interview broadcast over the Internet,45,6
train,6359.json,barely-true,0,not_credible,president ronald reagan sent troops conflict one circumstance grenada peacekeeping setting lebanon,"foreign-policy,history,military",mitt-romney,Former governor,Massachusetts,republican,an interview on 'Face the Nation.',98,12
train,8931.json,barely-true,0,not_credible,says david jolly supports privatizing social security,social-security,florida-democratic-party,,Florida,democrat,a robocall to 13th Congressional District voters,53,7
train,9213.json,true,1,credible,know us population growth lowest since great depression,"immigration,population",robert-sarvis,"lawyer, businessman",Virginia,libertarian,a tweet.,55,8
train,7599.json,mostly-true,1,credible,average student florida actually pay pocket major universities tuition much less spend cellphones,education,will-weatherford,State Representative,Florida,republican,a Board of Governors meeting,97,13
train,7258.json,true,1,credible,since americans died gunfire died wars countrys history,guns,mark-shields,Columnist and commentator,"Washington, D.C.",none,the PBS NewsHour,55,8
train,7128.json,mostly-true,1,credible,foreclosure tax would take effect could mean high tax bill facing foreclosure millions families modified mortgage short sale lender,housing,national-association-realtors,,,none,a web post,131,19
train,5667.json,false,0,not_credible,florida department agricultures website freshfromfloridacom used get permit carry loaded hidden gun without ever leaving house,guns,brady-campaign-prevent-gun-violence,,,none,a congressional briefing,126,16
train,4170.json,pants-fire,0,not_credible,atlanta streetcar expected create jobs construction totaling jobs next years,transportation,federal-transit-administration,,,none,a press release,76,10
train,10072.json,mostly-true,1,credible,raising minimum wage hour would help lift million americans poverty,"income,message-machine-2014,poverty",alison-lundergan-grimes,Secretary of State,Kentucky,democrat,a debate,67,10
train,10624.json,mostly-true,1,credible,says secretary state john kerry senator flew managua met communist dictator daniel ortega accused reagan administration engaging terrorism,"foreign-policy,history,terrorism",mitch-mcconnell,Senate minority leader,Kentucky,republican,"an interview on CNN's ""State of the Union""",138,18
train,13142.json,false,0,not_credible,nato opening major terror division im sure im going get credit largely saying criticism nato,"foreign-policy,military,terrorism",donald-trump,President-Elect,New York,republican,a presidential debate at Hofstra University,92,15
train,338.json,true,1,credible,sen obama always percent prochoice rating,abortion,barack-obama,President,Illinois,democrat,an e-mail message sent to voters before Super Tuesday.,41,6
train,7796.json,false,0,not_credible,teachers k teachers today years old,"education,retirement",terry-mcauliffe,Governor,Virginia,democrat,a speech.,35,6
train,7467.json,mostly-true,1,credible,twothirds wisconsinites receiving unemployment checks required search work due current work search exemptions,"government-regulation,jobs,poverty,welfare",scott-walker,Milwaukee County Executive,Wisconsin,republican,a speech,109,13
train,6895.json,barely-true,0,not_credible,says obama promised unemployment would never go percent,jobs,paul-ryan,U.S. Representative,Wisconsin,republican,a vice presidential debate,55,8
train,10423.json,true,1,credible,economy creating jobs fastest pace since,"economy,jobs",barack-obama,President,Illinois,democrat,the State of the Union address,40,6
train,6767.json,mostly-true,1,credible,president obama decided meet prime minister benjamin netanyahu new york,"foreign-policy,israel,message-machine-2012",adam-hasner,,Florida,republican,a press release from the Mitt Romney campaign,71,10
train,11043.json,mostly-true,1,credible,majority states marry freely still fired love,"civil-rights,gays-and-lesbians,states",mark-pocan,"State Assembly member, 78th District",Wisconsin,democrat,a statement,45,7
train,4357.json,pants-fire,0,not_credible,say oregon reps peter defazio earl blumenauer socialists openly serving us congress,candidates-biography,blog-posting,,,none,web pages,83,12
train,162.json,pants-fire,0,not_credible,rudy giuliani probably underqualified man since george bush seek presidency,job-accomplishments,joe-biden,U.S. senator,Delaware,democrat,Philadelphia,75,10
train,12593.json,mostly-true,1,credible,britains vote leave european union within hours americans lost billion ks,"economy,retirement",hillary-clinton,Presidential candidate,New York,democrat,"remarks in Cincinnati, Ohio",73,11
train,8164.json,mostly-true,1,credible,medicaid spending declined percent second decline years,medicaid,kathleen-sebelius,U.S. Health and Human Services Secretary,Kansas,democrat,a speech,55,7
train,6520.json,true,1,credible,says texas constables died line duty,"crime,criminal-justice,history,public-safety,public-service",bruce-elfant,"Constable, Travis County, Precinct 5",Texas,democrat,a press statement.,36,6
train,9500.json,mostly-true,1,credible,gov rick scott cut cost prepaid college tuition nearly,education,republican-party-florida,,,republican,a TV ad,54,9
train,4629.json,mostly-true,1,credible,city columbus would save million year employees contribute guaranteedcheck pensions,"jobs,labor,unions",dave-yost,Ohio auditor,ohio,republican,a newspaper column,83,10
train,1593.json,true,1,credible,floridas cfo shut krakows scam refunded million josephine victims con man,job-accomplishments,alex-sink,,Florida,democrat,a fundraising e-mail to supporters,73,11
train,10560.json,mostly-true,1,credible,women getting computer sciences degrees factor plus,"education,technology,women",hillary-clinton,Presidential candidate,New York,democrat,a conference in Silicon Valley,51,7
train,7555.json,false,0,not_credible,air force wants taxpayers fund fantasy football league,"families,federal-budget,military",blog-posting,,,none,blog posts,54,8
train,6777.json,pants-fire,0,not_credible,barack hussein obama force courts accept islamic sharia law domestic disputes,"islam,message-machine-2012",government-not-god-pac,,,none,a newspaper ad,77,11
train,325.json,mostly-true,1,credible,told gay organizers massachusetts would stronger advocate special rights even ted kennedy,gays-and-lesbians,john-mccain,U.S. senator,Arizona,republican,an automated call to voters,89,12
train,2555.json,mostly-true,1,credible,years speaker florida house consistently offered leaner budgets governor offered,"state-budget,taxes",marco-rubio,U.S. Senator,Florida,republican,an ABC News U.S. Senate debate.,80,10
train,7803.json,barely-true,0,not_credible,already almost halfway goal creating new jobs seven years,"economy,jobs",rick-scott,Governor,Florida,republican,2013-14 veto message,57,9
train,8985.json,true,1,credible,says us supreme court found social security guaranteed,social-security,david-jolly,,Florida,republican,a Congressional campaign debate,54,8
train,12021.json,false,0,not_credible,saysmichael bennet wants close guantanamo bay prisonand bring terrorists right colorado,"congress,terrorism",jon-keyser,,Colorado,republican,a candidate forum ,87,11
train,2932.json,true,1,credible,oregonians amazing nocost way fight abortion free political donations,"abortion,campaign-finance",oregon-right-life-pac,politican action committee,Oregon,none,a newspaper ad,69,9
train,11486.json,pants-fire,0,not_credible,president said hes going bring syrian iraqi refugees country,"foreign-policy,immigration,terrorism",sean-hannity,Radio/TV host,,none,"a segment of Fox News' ""Hannity""",60,9
train,7324.json,barely-true,0,not_credible,research shows vast majority arriving immigrants today come believe government source prosperity thats support,"immigration,pundits",rush-limbaugh,Radio host,,none,a radio interview,110,14
train,4884.json,mostly-true,1,credible,newt gingrichs immigration plan offers new doorway amnesty,immigration,mitt-romney,Former governor,Massachusetts,republican,a press conference,58,8
train,2257.json,false,0,not_credible,mr caprio career politician never worked private sector,candidates-biography,john-robitaille,,Rhode Island,republican,a campaign news release,55,8
train,8019.json,barely-true,0,not_credible,rhode island percent workers use states temporary disability insurance program year new jersey rate percent,"disability,labor,states,workers",patricia-morgan,Financial adviser,Rhode Island,republican,a speech on the House floor.,107,15
train,10947.json,mostly-true,1,credible,years spending social security federal health care interest debt exceed tax revenue,"debt,federal-budget,taxes",dave-brat,College professor,Virginia,republican,a Facebook post,83,12
train,12014.json,mostly-true,1,credible,president obama took money wall street campaign anybody ever,"campaign-finance,economy,elections,financial-regulation,history,stimulus,voting-record",hillary-clinton,Presidential candidate,New York,democrat,"a Democratic debate in Flint, Mich.",60,9
train,6588.json,false,0,not_credible,barack obama never even worked business,candidates-biography,rob-portman,U.S. senator from Ohio,Ohio,republican,a speech at the Republican National Convention in Tampa,39,6
train,3782.json,false,0,not_credible,says gov rick perry begging federal government send coast guard patrol two lakes usmexico border,"crime,immigration",louie-gohmert,U.S. House member,Texas,republican,a radio interview.,96,15
train,9230.json,false,0,not_credible,dan branch tried expand thirdtrimester abortions texas,"abortion,corrections-and-updates",texas-right-life,,Texas,none,an email blast,54,7
train,3864.json,pants-fire,0,not_credible,michigan massachusetts raised bottle deposit could longer afford program redemptions high profit,environment,jeff-kruse,state senator,Oregon,republican,on the Oregon Senate floor,96,12
train,3054.json,true,1,credible,whether like admit half general revenue goes education,"education,state-budget",mike-haridopolos,Florida Senate President,Florida,republican,comments to reporters.,54,8
train,2367.json,false,0,not_credible,im one whos fought developers draining everglades,"environment,message-machine",kendrick-meek,,Florida,democrat,a television ad,49,7
train,11582.json,barely-true,0,not_credible,climate change directly related growth terrorism,"climate-change,terrorism",bernie-s,U.S. Senator,Vermont,independent,"a Democratic presidential debate in Des Moines, Iowa.",48,6
train,4453.json,barely-true,0,not_credible,jobs bill includes president obamas tax soup kitchens,"economy,jobs,taxes,workers",eric-cantor,House Majority Leader,Virginia,republican,a blog post,53,8
train,6898.json,barely-true,0,not_credible,says obama administration spent taxpayer dollars electric cars finland windmills china,stimulus,paul-ryan,U.S. Representative,Wisconsin,republican,the vice-presidential debate,86,11
train,4504.json,barely-true,0,not_credible,says rick perry wrote letter supporting hillarycare,health-care,ron-paul,U.S. representative,Texas,republican,a presidential debate,51,7
train,9561.json,false,0,not_credible,us patent trademark office received zero complaints washington redskins name,sports,blog-posting,,,none,blog posts,76,10
train,1441.json,pants-fire,0,not_credible,presidents health care proposals cause americans premiums increased decreased hundreds millions people lose current insurance coverage,"health-care,pundits",nancy-pfotenhauer,political strategist,,republican,an interview on CNN,134,16
train,12683.json,mostly-true,1,credible,mexican immigrants lawabiding us citizens statistic,immigration,gary-johnson,Presidential candidate,New Mexico,libertarian,an interview on CNN,51,6
train,9554.json,true,1,credible,already american jobs solar industry coal mining,"climate-change,energy,environment,jobs",sheldon-whitehouse,U.S. Senator,Rhode Island,democrat,a newspaper commentary,48,7
train,81.json,mostly-true,1,credible,romney failed take action sanctuary cities massachusetts,immigration,rudy-giuliani,Attorney,New York,republican,"St. Petersburg, Fla.",56,7
train,10142.json,false,0,not_credible,says thomas eric duncan came united states elevated temperature,"ebola,health-care,public-health,transportation",darrell-issa,U.S. House of Representatives,California,republican,"comments on CNN's ""State of the Union""",63,9
train,8754.json,mostly-true,1,credible,afghanistan longer foreign land conducting war nations history,afghanistan,robert-gibbs,Former White House Press Secretary,,democrat,"an interview on NBC's ""Meet the Press""",62,8
train,2537.json,true,1,credible,webster sponsored bill create form marriage would trap women abusive relationships,"marriage,message-machine,women",alan-grayson,U.S. House of Representatives,Florida,democrat,a TV ad.,82,11
train,4681.json,true,1,credible,says judges get better benefits lower cost everybody else state,pensions,chris-christie,Governor of New Jersey,New Jersey,republican,a news conference,63,10
train,5524.json,true,1,credible,lot casinos across country gone bankrupt,"bankruptcy,economy,gambling,state-budget,state-finances,states",robert-jacquard,State representative,Rhode Island,democrat,a speech,40,6
train,5044.json,true,1,credible,small businesses create percent jobs america,"economy,jobs,small-business",eric-cantor,House Majority Leader,Virginia,republican,a news release.,44,6
train,13069.json,mostly-true,1,credible,texas country economy would rank world,"corrections-and-updates,economy,states",greg-abbott,governor,Texas,republican,a tweet,38,6
train,6969.json,false,0,not_credible,oil rigs operation united states rest world combined,"corporations,debt,economy,energy,environment,federal-budget,gas-prices,government-regulation,infrastructure",david-cicilline,mayor of Providence,Rhode Island,democrat,a debate,52,8
train,2802.json,mostly-true,1,credible,commitment voters take seriously incumbent ohio break pledge vote ted stricklands income tax hike defeated soundly tuesday,"elections,taxes",americans-tax-reform,,,none,a news release,122,17
train,8370.json,false,0,not_credible,obama administration shut amber alert program government shutdown,"children,crime,federal-budget",tweets,,,none,messages on Twitter,65,8
train,7243.json,mostly-true,1,credible,see americas prison population exploding america greater percentage people behind bars nation world,criminal-justice,hank-johnson,U.S. Congressman,Georgia,democrat,a letter,99,13
train,3333.json,pants-fire,0,not_credible,says hearing rep gabrielle giffords suggested gen david petraeus army put emphasis less environmentally damaging methods like stabbing clubbing enemy forces order minimize carbon output,"energy,environment,military",chain-email,,,none,a chain e-mail,185,25
train,1053.json,true,1,credible,texas name new male babies many vote one day jose,"elections,immigration,pundits",mike-murphy,political strategist,,republican,a column in Time magazine.,49,10
train,11731.json,mostly-true,1,credible,marco rubio voted authorizing president obama strike syria assad used chemical weapons people,"candidates-biography,congress,foreign-policy,history,terrorism",hillary-clinton,Presidential candidate,New York,democrat,a posting on the Clinton website,93,13
train,1059.json,false,0,not_credible,cash clunkers program weve got go local junkyard youve got tow house youre going get,"pundits,transportation",sean-hannity,Radio/TV host,,none,a Fox News interview,84,15
train,11886.json,false,0,not_credible,one republican guts recognize climate change real,"cap-and-trade,climate-change,debates,economy,energy,environment,government-regulation,jobs,campaign-advertising,polls,public-safety",bernie-s,U.S. Senator,Vermont,independent,a Democratic debate in New Hampshire,49,7
train,5312.json,pants-fire,0,not_credible,david dewhurst record promoting income tax,taxes,ted-cruz,Senator,Texas,republican,a handout.,42,6
train,4368.json,mostly-true,1,credible,point pleasant beach beaches privately owned operated businesses jenkinsons,"environment,income",vincent-barrella,"Mayor, Point Pleasant Beach",New Jersey,independent,a column published on NJ.com,75,9
train,1354.json,barely-true,0,not_credible,past year percent americans changed mind war afghanistan conclude shouldnt,afghanistan,alan-grayson,U.S. House of Representatives,Florida,democrat,an interview on 'The Ed Show.',74,10
train,3003.json,false,0,not_credible,last five years people killed along usmexico border,"crime,homeland-security,immigration",lamar-smith,Congressman,Texas,republican,a news release,51,8
train,6265.json,barely-true,0,not_credible,state ohio one lowest unemployment rates nation right leading pack terms job creation,"economy,jobs",bill-johnson,U.S. representative,Ohio,republican,a telephone town hall meeting,85,13
train,5689.json,false,0,not_credible,says obama health reform law denies millions access affordable insurance,"health-care,workers",eric-hovde,,,republican,a blog post,72,10
train,13370.json,barely-true,0,not_credible,says hb hasnt moved needle one iota north carolinas economy,"corporations,economy,gays-and-lesbians,state-finances,states",john-skvarla,N.C. Secretary of Commerce,North Carolina,republican,a speech in Charlotte,59,10
train,2347.json,false,0,not_credible,close federal prison population consists illegal immigrants,immigration,daniel-mielke,Farmer,Wisconsin,republican,a statement on campaign web site,59,7
train,7476.json,false,0,not_credible,says rick scott called education core function state,"education,state-budget",florida-democratic-party,,Florida,democrat,a press release,52,8
train,11636.json,false,0,not_credible,family research council according government agencies terrorist group,terrorism,ben-carson,,,republican,an interview on CNN,69,8
train,2550.json,true,1,credible,says rep jim weidner proposed bill taking away health care oregons children,"health-care,taxes",blue-oregon,liberal blog,Oregon,democrat,a website posting,75,12
train,7123.json,true,1,credible,says election former gov tom kean largest winning margin gubernatorial candidate jersey history,"elections,states",raymond-bateman,,,republican,a column,95,13
train,6289.json,false,0,not_credible,obamacare biggest tax increase american history,"corrections-and-updates,federal-budget,health-care,taxes",mark-neumann,Developer and homebuilder,Wisconsin,republican,an interview,47,6
train,772.json,true,1,credible,said barack obama ready commander chief,candidates-biography,sarah-palin,,Alaska,republican,"St. Louis, Mo.",39,6
train,8766.json,mostly-true,1,credible,median male worker country seen raise inflation adjusted years basically,"economy,jobs,labor,workers",rana-foroohar,Assistant managing editor for Time,,none,a CNN interview,72,10
train,2332.json,barely-true,0,not_credible,milwaukee mayor tom barrett held line property taxes,"job-accomplishments,taxes",barack-obama,President,Illinois,democrat,a speech at a campaign fund-raiser for Tom Barrett's gubernatorial campaign,52,8
train,10764.json,true,1,credible,im member house representatives raised campaign funds last election small contributions less,campaign-finance,alan-grayson,U.S. House of Representatives,Florida,democrat,an interview with Democracy Now,92,12
train,7261.json,true,1,credible,unlike gridlock washington percent bills passed general assembly bipartisan support,"bipartisanship,job-accomplishments",tom-niehaus,President of the Ohio Senate,Ohio,republican,an online video,83,10
train,6780.json,false,0,not_credible,josh mandel lying record rating ohios investment fund improved,"job-accomplishments,message-machine-2012,state-finances",sherrod-brown,U.S. Senator,Ohio,democrat,a campaign commercial,62,9
train,1434.json,mostly-true,1,credible,beginning last decade america budget surplus billion time took office oneyear deficit trillion projected deficits trillion next decade,"economy,federal-budget",barack-obama,President,Illinois,democrat,his State of the Union speech,134,18
train,2258.json,true,1,credible,us taxpayers forced fund feisal abdul raufs trip middle east,"foreign-policy,religion,terrorism",ileana-ros-lehtinen,U.S. Representative,Florida,republican,a press release.,60,10
