topic,topic_keywords,n_train_examples,p_not_credible,predicted_topic_label,example_statements
-1,outlier/noise,3065,0.5412724306688418,not_credible,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades. || Jim Dunnam has not lived in the district he represents for years now. || The economy bled $24 billion due to the government shutdown.
25,"raise, obama, taxes, tax, barack, 42000, transactions, class, your, obamas",47,0.851063829787234,not_credible,"The jobs bill includes President Obamas tax on soup kitchens || Barack Obama's plan calls for ""mandates and fines for small businesses."" || Last week Senator Obama's running mate said, get this, 'Raising taxes is patriotic.' "
26,"iran, nuclear, sanctions, deal, irans, iranian, tiny, weapons, hostages, iranians",47,0.7234042553191489,not_credible,"When we took office, let me remind you, there was virtually no international pressure on Iran. || Since the United States began negotiations with Iran, thats probably the first year and a half in which Iran has not advanced its nuclear program in the last decade. || Obama says Iran is a 'tiny' country, 'doesn't pose a serious threat.'"
27,"oil, gas, arabia, saudi, gulf, production, barrels, natural, reserves, strategic",44,0.4772727272727273,credible,"There are more oil rigs in operation in the United States than the rest of the world combined. || On using the Strategic Petroleum Reserve. || Says the United States actually exports more gasoline, diesel and other fuels than it imported in 2011 for the first time since, I think, 1949."
28,"marijuana, drug, medical, use, pain, get, testing, studies, drugs, cigarettes",43,0.37209302325581395,credible,"Under a proposed medical marijuana amendment in Florida, you dont get refills -- you get it forever. || As the usage [of synthetic marijuana] has dramatically increased, instances of violence, bodily harm and even death have risen with it. || The marijuana that kids are smoking today is not the same as the marijuana that Jeb Bush smoked 40 years ago."
29,"veterans, suicide, veteran, homeless, skipped, lives, affairs, va, diowa, there",41,0.5121951219512195,not_credible,"Says one out of three U.S. homeless men is a veteran. || On the VA: Over 300,000 veterans have died waiting for care. || Our veterans, in many cases, are being treated worse than illegal immigrants."
30,"rhode, island, providence, country, worst, highest, pension, islands, state, median",40,0.475,credible,"In Rhode Island, 9 percent of workers use the states temporary disability insurance program each year while in New Jersey, the rate is only 3 percent. || Providences port is 200 miles closer to Europe than any other Eastern port. || If Rhode Island does a hybrid [retirement] plan well be the first state in the nation to do this."
31,"wage, minimum, workers, 725, 1010, 40hour, federal, hour, lift, raising",40,0.44999999999999996,credible,"Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty. || The minimum wage is mostly an entry-level wage for young people. || Says U.S. Senate candidate Joni Ernst does not support a national minimum wage."
32,"immigration, border, obama, president, barack, executive, deportation, 22, he, authority",39,0.4358974358974359,credible,Says Barack Obama is apparently not for vetting people and saying just anybody can come to the United States. || Says President Barack Obama promised a pathway to citizenship to undocumented immigrants and didnt deliver jack squat on any of it. || Says President Barack Obamas acceptance of an Islamic order and gold medal was unconstitutional.
33,"jobs, lost, months, month, president, obama, barack, during, million, eight",38,0.5526315789473684,not_credible,"We went from losing 3 million jobs in the last six months of the Bush Administration, adding almost 600,000 private sector jobs in the first six months of the year. || Democrats have lost more than 900 state legislators since Barack Obama has been president. || 8 years of the Clintons, major losses for Democrats across the nation."
34,"perry, rick, perrys, gov, mansion, taxpayers, forum, secede, texas, governors",38,0.631578947368421,not_credible,"Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border. || Says Rick Perry wrote a letter supporting Hillarycare. || Gov. Rick Perry spent over a million dollars on D.C. lobbyists asking for more federal money and lives in a luxury house that costs taxpayers $10,000 a month."
35,"guns, gun, assault, shooting, ban, weapons, you, handguns, rifles, hunting",38,0.6578947368421053,not_credible,"Assault weapons and handguns are allowed in the state Capitol while bullhorns, trumpets, helium balloons and flags on poles are banned. || One of the key things about Leonard Lance is that in 2008, when you look at [the] Project Vote Smart website, he was not for guns. Now he has gone too far to the right, saying that you can carry concealed weapons in national parks. || Says U.S. Rep. John Barrow, D-Ga., celebrates gun ownership even in the face of school shootings."
36,"killed, gunfire, die, died, americans, people, murdered, guns, each, year",37,0.2432432432432432,credible,"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history. || Every month since 9/11, there have been as many suicide attacks against the United States and its allies as there were in all the years leading up to 9/11. || Here are the stats: Per population, we kill each other with guns at a rate 297x more than Japan, 49x more than France, 33x more than Israel."
37,"crime, violent, down, crimes, violence, decrease, park, percent, atlanta, murder",36,0.4722222222222222,credible,"Since the federal Violence Against Women Act was adopted in 1994, cases of domestic violence have fallen by 67 percent. || Crime is rising. || The truth of the matter is that during my administration, the FBI's crime statistics show that violent crime was reduced in Massachusetts by 7 percent."
38,"food, stamps, stamp, farm, assistance, sandwich, bread, cheese, ham, welfare",36,0.33333333333333337,credible,"Says taking millionaires off food stamps and unemployment would save $20 million. || Says 1 in 7 American families is on food stamps. || Says Walmart employees represent the largest group of Medicaid and food stamp recipients in many states, costing the taxpayer $1,000 per worker."
39,"bills, passed, murphy, patrick, house, bipartisan, three, bill, committee, assembly",35,0.5714285714285714,not_credible,"Unlike the gridlock in Washington, more than 80 percent of the bills we passed during this General Assembly had bipartisan support. || Now, in the House of Representatives, we have 40 different jobs bills that have passed and almost all of them have been bipartisan. || He leant his name to a bill, did little or nothing three years ago to try to get it passed, (and) since then has done absolutely nothing other than disavow any attempt to move on the legislation."
40,"rick, scott, scotts, gov, company, columbiahca, insurance, geared, mosquito, fraud",34,0.7352941176470589,not_credible,"Said former U.S. Ambassador to Kenya Scott Gration was forced to resign two years ago because of his personal use of emails. || Rick Scott ""was forced to resign as the head of a company that pled guilty to massive amounts of systematic fraud, including 14 felonies, leading to a historic $1.7 billion fine."" || Rick Scotts Administration spent over $100,000 of taxpayer money during their first voter purge attempt in 2012."
41,"water, gallons, lake, lakes, day, flooding, wash, reservoir, reuses, surprised",34,0.47058823529411764,credible,"We have towns in West Texas that are out of water, that are having to truck in water. || (Flint, Mich., is) paying three times more for poison water than I am paying in Burlington, Vt., for clean water. || The city of Atlanta has either the highest or second-highest average water bills in the country."
42,"spending, gdp, percent, economy, dollar, assets, our, discretionary, six, federal",34,0.32352941176470584,credible,"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent. || Were now spending 42 percent of our economy on government. || What we have now is the most generous, in my opinion, good time bill in the entire United States."
43,"guantanamo, detainees, cuba, bowe, bergdahl, torture, bay, waterboarding, swapped, political",31,0.3548387096774194,credible,SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado. || Says Merrick Garland authored an opinion that resulted in the release of 17 Guantanamo Bay prisoners who were part of a group of violent Islamist extremists the State Department had designated as terrorists. || Guantanamo Bay detainees will get the H1N1 vaccine.
44,"economy, texas, carolina, south, growing, jobs, rest, created, shortage, greece",31,0.32258064516129037,credible,"If Texas were a country our economy would rank # 10...in the WORLD. || Starting in December 2007, 1.4 million jobs were created in Texas. In that same period, the rest of the country lost 400,000 jobs. || Over the last 10 years, Texas created 33 percent of the net new jobs nationwide."
45,"ferguson, whites, africanamericans, black, blacks, white, males, police, prison, likely",30,0.4666666666666667,credible,"There are more African American men in prison, jail, on probation or parole than were enslaved in 1850. || Youll find blacks in almost every regiment throughout the South who fought right alongside white Southerners, during the Civil War. || African-American children are 500 percent more likely to die from asthma than white kids."
46,"muslims, mosque, muslim, islamic, sharia, dearborn, mich, cannot, islam, not",30,0.7333333333333334,not_credible,"If you actually took the number of Muslims [sic] Americans, we'd be one of the largest Muslim countries in the world. || Says thousands at a Manhattan rally for Donald Trump were chanting We hate Muslims, we hate blacks, we want our great country back. || I never said that Muslims would be subject to profiling under his policies."
47,"driving, alcohol, rhode, island, fatalities, drunk, texting, attributed, crashes, deaths",29,0.48275862068965514,credible,"Wisconsins criminal threshold for drunken-driving is way out of line with states surrounding us, which have the second offense as a felony. || Rhode Island has the the second-most heavily deployed National Guard in the United States. || Rhode Island is the only state where officers at state-supported [colleges] carry out their duties unarmed."
48,"women, cents, dollar, men, 77, earns, earn, man, same, paid",29,0.3793103448275862,credible,Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor. || You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now. || The typical white male worker in this country is making in real terms what he was making in 1973 and the average worker is making what they were making in 1996.
49,"poverty, living, women, poor, childless, lived, extreme, youre, level, highest",29,0.3793103448275862,credible,"The poverty level in the Dallas school district is one of the highest in the country, higher than New York, Chicago, Los Angeles, Houston, Detroit and Newark. || Says the number of Americans living at or below the poverty line is at its highest level since 1964. || 90% of rural women and 55% of all women are illiterate in Morocco."
50,"earmarks, earmark, kingston, requested, jack, allen, patty, requesting, ga, asked",28,0.4642857142857143,credible,"The omnibus bill has only $3.8 billion in earmarks. || Senator McCain has been talking tough about earmarks, and that's good, but earmarks account for about $18-billion of our budget. || On an earmark moratorium."
51,"isis, islamic, terrorist, alqaida, radical, group, isil, targets, attack, terrorists",28,0.8571428571428572,not_credible,"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts. || The Family Research Council, according to some government agencies, is a terrorist group. || Jason Kander supports [Obamas] plan to bring the remaining suspected terrorists to U.S. soil."
52,"background, checks, check, nra, gun, expanded, households, buyers, support, 1999",27,0.2592592592592593,credible,"In 1999, the NRA leadership in Washington, pretty much the same people intact, were for (expanded background checks.) || Speaker Rubio supported gun restrictions that included background checks and waiting periods. || The NRA supported background checks..."
53,"gallon, gas, gasoline, prices, ethanol, cents, price, subsidies, president, became",27,0.7407407407407407,not_credible,"Gas prices have gone up 99 percent since Obama became president, the highest gas price increase since Carter. || Americans ""have never paid more for gas at the pump."" || Says gas costs $4.50 a gallon."
54,"barack, obama, kenya, born, che, belongs, obamas, columbia, him, forward",27,0.7777777777777778,not_credible,"Barack Obamas Columbia University ID says he was a foreign student and went by Barry Soetoro. || Barack Obama wrote a thesis at Columbia University in which he criticized ""plutocratic thugs"" and said the Constitution gave Americans ""the shackles of hypocrisy."" || Barack Obama voted against born alive legislation in Illinois that was virtually identical to the federal law."
55,"jersey, new, christie, jerseys, nj, chris, credit, downgrades, whitman, jobless",27,0.5185185185185186,not_credible,"Says that in the 1985 election former Gov. Tom Kean had the largest winning margin for a gubernatorial candidate in Jersey history. || And the #jerseycomeback keeps rolling! Thanks to @GovChristie NJ now has lowest corruption risk of any state. || While the United States has seen its unemployment rate steadily decline, New Jerseys remains nearly two percent higher than the national average and more than a point higher than Connecticut and New York."
56,"coal, wind, solar, energy, power, plants, emissions, presidents, electricity, carbon",26,0.46153846153846156,credible,What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants. || There are already more American jobs in the solar industry than in coal mining. || Wind powers nearly 13 million homes across the country.
57,"corporate, world, highest, tax, rate, corporations, taxed, united, worker, 35",26,0.34615384615384615,credible,"The United States has the highest corporate tax rate in the free world. || In 1952, the corporate income tax accounted for 33 percent of all federal tax revenue. Today, despite record-breaking profits, corporate taxes bring in less than 9 percent. || America is one of the highest-taxed nations in the world."
58,"street, wall, bailouts, financial, donald, trump, bailout, rooted, glasssteagall, crisis",26,0.46153846153846156,credible,"In the case of General Motors, the (Bush) administration wrote a check without asking for any conditions of change. || Says U.S. Rep. Lamar Smith supported the $700 billion Wall Street bailout in 2008, ""but now he is standing in the way of reforms that would assure these bailouts would never happen again. || On support for the auto bailouts."
59,"jobs, created, academies, job, since, 700000, dekalb, new, 60000, 40000",26,0.3076923076923077,credible,"We are already almost halfway to our 2010 goal of creating 700,000 new jobs in seven years. || In the last 22 months, businesses have created more than 3 million jobs. Last year, they created the most jobs since 2005. || Since last years address, more than 10,000 jobs created -- many on the high end of the employment scale."
60,"texas, hispanics, hispanic, vote, registered, republican, african, voters, percent, electorate",24,0.33333333333333337,credible,"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin. || In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out. || Eight out of the nine states with competitive Senate races, Hispanics make up less than 10 percent of the electorate."
61,"teachers, teacher, tenure, salary, entry, average, paid, contract, three, pay",24,0.45833333333333337,credible,"Florida teachers are ""already paid $5,000 below the national average."" || Out of 150,000 tenured teachers in the last 10 years, only 17 have been dismissed for incompetence. || The Providence teacher contract is one of the longest in the country."
62,"ohio, ohios, ohioans, other, jobs, business, created, lost, state, nation",24,0.16666666666666663,credible,"The state of Ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation. || On Lee Fishers watch, almost nine out of 10 jobs that Ohio lost were lost to other states, not to other countries. || Says Ohios I-X Center used to be a great plant, but thousands of people of worked here, and they left when their jobs were moved overseas."
63,"instate, tuition, illegal, immigrants, undocumented, dream, students, college, latinos, immigrant",24,0.45833333333333337,credible,"Says the Texas Education Agency follows up to make sure undocumented immigrants paying in-state tuition at Texas colleges are applying for permanent residency. || Romney said ""'No' to in-state tuition"" for illegal immigrants. || Once people become citizens under the DREAM Act and turn 21, they can sponsor their illegal immigrant parents for legalization."
64,"stadium, virginia, braves, league, football, impact, beckhams, vehicle, baseball, richmond",24,0.45833333333333337,credible,"The Air Force wants taxpayers to fund a fantasy football league. || Says that compared to direct sales by manufacturers, consumers save avg of $500 per car sold through franchised dealer model. || David Beckhams proposed soccer stadium at Miamis Port threatens the 207,000 jobs and $27 billion economic impact tied to the cargo and cruise industries."
65,"benghazi, attack, libya, rice, requests, attacks, terrorist, video, standdown, christopher",23,0.8695652173913043,not_credible,"The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance. || Says Libya Ambassador (Christopher) Stevens sent 600 requests for help in Benghazi. || Before the terrorist attacks in Benghazi, the State Department not only failed to honor repeated requests for additional security, but instead actually reduced security in Libya."
66,"wealth, bottom, walmart, gap, owns, richest, percent, 90, walton, africanamerican",23,0.21739130434782605,credible,"If black America were a country, itd be the 15th wealthiest nation in the world. || The top one-tenth of 1 percent now owns almost as much wealth as the bottom 90 percent. || The top 1/10th of 1 percent today in America owns almost as much wealth as the bottom 90 percent."
67,"austin, city, council, shade, austinites, randi, fastestgrowing, rent, meetings, largest",23,0.4347826086956522,credible,"Austin is a city that has basically doubled in size every 25 years or so since it was founded. || Austin is burdened by the fastest-growing tax increases of any major city in the nation. || Families in Del Valle, who are City of Austin residents, have to drive to Bastrop to go to the closest grocery store."
68,"lanes, traffic, bridge, freeway, toll, transit, add, rushhour, i95, mph",22,0.40909090909090906,credible,"We pay among the highest tolls in the nation for the privilege of crossing that bridge. || Says TriMets own analysis shows that YouthPass does not actually add to the transit agencys costs. || The fact that one town has three lanes dedicated to it, that kind of gets me sauced."
69,"taxes, wants, sales, heller, tax, groceries, toomey, pat, small, business",22,0.6818181818181819,not_credible,Jorge Elorza wants to impose a municipal income tax. || Gov. Maggie Hassans budget proposal raises taxes on small businesses and increases taxes and fees by $100 million. || Carol Shea-Porter wants to increase taxes on small business and job creators.
70,"beef, milk, food, hemp, meat, dairy, paper, farms, regulate, ban",22,0.7272727272727273,not_credible,"Eighty percent of the antibiotics in this country are fed to livestock. || The Dog Meat Festival in Yulin, China, threatens global public health. || When the salmonella source was finally identified, FDA officials had to wait for industry approval before they could go live with the [peanut] recall."
71,"vaccine, vaccines, measles, cause, reactions, disease, immunizations, injected, vaccination, smallpox",22,0.7727272727272727,not_credible,"The most likely triggering cause of (microcephaly) is the DTaP shot, a vaccine that had been recently mandated by the Brazilian government to be injected into pregnant women. || Rick Perry thinks injecting 11- and 12-year-old girls with a controversial drug (the HPV vaccine), without a parents consent, is a good idea. || Every year in the United States between 3,000 and 4,500 severe vaccine reactions are reported to the Centers for Disease Control. Not mild reactions. Severe reactions that land somebody in the hospital, the intensive care unit or cause a permanent disability or death."
72,"romney, mitt, flipflopped, prolife, prochoice, abortion, nominee, rape, candidate, heidi",22,0.40909090909090906,credible,Says Mitt Romney wants to get rid of Planned Parenthood. || Says Rep. Jon Runyan voted to redefine rape. || The polls show over half of Americans identify themselves as being pro-life.
73,"election, seats, republican, votes, party, 1800s, uncontested, incumbents, won, elections",22,0.18181818181818177,credible,"Before our last three presidents, you have to go back to the 1800s, early 1800s to find three presidents in a row being consecutively re-elected. || This is the first time a party has picked up multiple seats during a regular election since the mid 1980s, making this the largest majority of any party in more than 25 years. || Says 18 states and the District of Columbia have voted Democratic in six consecutive presidential elections."
74,"pension, funded, retirement, system, contribute, employees, pensions, postal, fund, only",21,0.38095238095238093,credible,"The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions. || Says the U.S. Postal Service has taken no taxpayer aid since 1971, funds operations entirely from the sale of stamps and related products and makes an operational profit year after year. || The Wisconsin Retirement System for public employees is a self-funded pension plan and its the money of the workers that funds it."
75,"trump, china, made, america, trade, korea, suits, cars, dinner, communists",21,0.5714285714285714,not_credible,"Says Trump shirts are made in Bangladesh, Trump suits in Mexico, Trump Vodka in the Netherlands, Trump crystal barware in Slovenia and his cufflinks and ties in China. || Says Donald Trump doesnt make a thing in America. || Says Donald Trumps Make America Great Againhats were made in China."
76,"property, taxes, tax, cut, december, foreclosure, onethird, went, we, previous",20,0.44999999999999996,credible,A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender. || The difference over the (previous) four years between where things were headed and where we brought them to over the last four years is a total of $816 in saved property tax money. || If you sell your house after 2012 you will pay a 3.8 percent sales tax on it.
77,"sherrod, brown, jobkilling, browns, sen, big, ohio, voted, energy, responsible",20,0.75,not_credible,"Says Sen. Sherrod Brown voted to block American energy production and increase energy taxes. || Says U.S. Sen. Sherrod Brown is responsible for over $14 trillion in debt. || Sen. Sherrod Browns vote helped pass Barack Obamas job-killing health care law, which slapped small businesses throughout Ohio with a $500 billion tax increase."
78,"refugees, syrian, refugee, 250000, syria, mandating, vet, europe, ability, arent",19,0.7894736842105263,not_credible,"The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country. || It takes almost a year for a refugee to be processed in the United States. || The vast majority of (Syrian) refugees are young, able-bodied men looking for work."
79,"palin, sarah, white, experience, sanctuary, got, wasilla, barnett, mornings, pig",18,0.7777777777777778,not_credible,"Says the difference between her and Barack Obama is ""about 35 years of experience."" || We know that Sunday mornings have usually been given over to conservative white men. || Says attorney general candidate Jon Richards went so far to say he would only enforce the laws with which he personally agreed."
80,"ebola, cough, outbreak, measles, be, hours, supplier, therapy, massage, bioweapons",18,0.7222222222222222,not_credible,"Money towards the Ebola vaccine is basically cut in half to what it was. More cuts are coming under the congressional sequester. || SaysTom Cotton voted against preparing America for pandemics like Ebola. || According to a government supplier of emergency products, the Disaster Assistance Response Team was told to be prepared to be activated in the month of October for an outbreak of Ebola."
81,"charlie, crist, crists, felons, vetoed, disfigurement, airs, intentional, heinous, antitax",18,0.5555555555555556,not_credible,"Charlie Crist ""worked with Acorn"" to give felons voting rights. || Charlie Crist ""bizarrely vetoed"" $9.7 million for a teaching hospital at the University of Florida ""despite having previously argued the budget request had merit."" || Charlie Crist broke the quarter ""record for fundraising in a U.S. Senate race in Florida."""
82,"espionage, warrant, intelligence, spy, monitor, whistleblower, edward, snowden, americans, act",18,0.33333333333333337,credible,"U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant. || Congress is bewildered at the scope and reach of our spying apparatus but in 2008 and 2012 explicitly rejected an amendment calling for more disclosure. || The ACLU didnt call for an investigation (of the Newark police department), they called for an immediate federal monitor."
83,"trade, clinton, hillary, transpacific, supported, nafta, partnership, she, boon, deal",18,0.6666666666666667,not_credible,"Hillary Clinton ""starts off with 47 percent of the country against her."" || Says Hillary Clinton has even deleted this record of total support (for the Trans-Pacific Partnership trade agreement) from her book. || I know that Hillary on occasion has said just last year said this (NAFTA) was a boon to the economy."
84,"romneycare, massachusetts, edition, book, romneys, romney, paperback, deleted, health, care",18,0.6111111111111112,not_credible,"Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country || Romney adviser admits Romneycare was blueprint for Obamacare. || Says Romney wrote in the first edition of his book that his health care plan should be expanded nationwide and then, You took it out of your book."
85,"equal, women, men, pay, belonged, workplace, work, perdue, paid, female",18,0.6666666666666667,not_credible,"While fighting a move to toughen penalties for workplace gender discrimination, state Sen. Glenn Grothman said he didnt believe women belonged in the workplace but belonged at home, cooking and cleaning and having babies. || As a senator, Hillary Clinton paid women less than the men in her office. || As a senator, Hillary Clinton actually paid female staffers a lot less than men."
